item_type,item_id,source_or_link,reviewer_decision,reviewer_note
claim,eggs_c004,examples/eggs/worked_region_observational_vs_rct_map.md,pending,
claim,eggs_c008,examples/eggs/worked_region_observational_vs_rct_map.md,pending,
claim,eggs_c012,examples/eggs/worked_region_observational_vs_rct_map.md,pending,
claim,eggs_c015,examples/eggs/worked_region_observational_vs_rct_map.md,pending,
claim,eggs_c016,examples/eggs/worked_region_observational_vs_rct_map.md,pending,
claim,eggs_c018,examples/eggs/worked_region_observational_vs_rct_map.md,pending,
claim,eggs_c019,examples/eggs/worked_region_observational_vs_rct_map.md,pending,
relation,eggs_r003,examples/eggs/worked_region_observational_vs_rct_map.md,pending,
relation,eggs_r005,examples/eggs/worked_region_observational_vs_rct_map.md,pending,
relation,eggs_r006,examples/eggs/worked_region_observational_vs_rct_map.md,pending,
relation,eggs_r007,examples/eggs/worked_region_observational_vs_rct_map.md,pending,
relation,eggs_r015,examples/eggs/worked_region_observational_vs_rct_map.md,pending,
loss,eggs_loss_003,examples/eggs/decision_space_erosion_audit.md,pending,
loss,eggs_loss_005,examples/eggs/decision_space_erosion_audit.md,pending,
loss,eggs_loss_006,examples/eggs/decision_space_erosion_audit.md,pending,
loss,eggs_loss_007,examples/eggs/decision_space_erosion_audit.md,pending,
overall,eggs_overall,docs/review/EGGS_HUMAN_AUDIT_PACKET.md,pending,
